business_activity,category,scale_or_specification,unit,reference_cost_min_inr,reference_cost_max_inr,cost_basis,source_authority,source_year,state_or_scope,source_page,official_source_url,notes,provenance_priority,use_for_vittanaya
Manufacturing Term Loan - Medium,MSME finance,Medium,No.,250000000,250000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Manufacturing Term Loan - Micro,MSME finance,Micro,No.,5000000,5000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Manufacturing Term Loan - Small,MSME finance,Small,No.,50000000,50000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Manufacturing Working Capital - Medium,MSME finance,Medium,No.,50000000,50000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Manufacturing Working Capital - Micro,MSME finance,Micro,No.,1200000,1200000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Manufacturing Working Capital - Small,MSME finance,Small,No.,10000000,10000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Market Yard Marketing Infrastructure,Agri marketing,Marketing infrastructure,No.,5000000,5000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Medicinal & Aromatic Crops - Lemon Grass,Horticulture,Lemon grass,acre,176715,176715,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Mushroom Cultivation,Food/agri processing,"Paddy straw, 1000 kg/cycle",cycle,129960,129960,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
New Orchard - Tropical/Subtropical A,Horticulture,Tropical/subtropical,acre,182414,182414,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
New Orchard - Tropical/Subtropical B,Horticulture,Tropical/subtropical,acre,185265,185265,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
New Orchard - Tropical/Subtropical C,Horticulture,Tropical/subtropical,acre,239430,239430,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
New Orchard - Mango,Horticulture,Mango,acre,174000,174000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Nursery / Propagation Unit,Horticulture,Traditional nursery,No.,38596,38596,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Oil Extraction,Food/agri processing,Semi-automatic oil mill,No.,500000,500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Other Machinery & Equipment - Small,Farm services,Other machinery & equipment,No.,137600,137600,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Other Machinery & Equipment - Large,Farm services,Other machinery & equipment,No.,386800,386800,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Other Plantation Crops,Horticulture,Other plantation crop,acre,223130,223130,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Perennial Vegetables - Drumstick,Horticulture,Drumstick,acre,63207,63207,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Pig Rearing Unit,Piggery,New shed 3+1,unit,324000,324000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Avenue Plantation,Forestry,Avenue plants,No.,274154,274154,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Bamboo Plantation,Forestry,OBDP state plan,ha,137017,137017,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Power Tiller,Farm mechanization,Power tiller,No.,211800,211800,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Protection Structure - High Cost,Protected cultivation,Structure,sq.m,1501500,1501500,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Protection Structure - Medium Cost,Protected cultivation,Structure,sq.m,282975,282975,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Protection Structure - Poly/Greenhouse,Protected cultivation,Poly/green housing,sq.m,1717,1717,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Rice Processing - Puffed Rice,Food processing,Puffed rice,No.,3000000,3000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Rice Processing - Rice Huller,Food processing,Rice huller 0.4,No.,250000,250000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Sanitation,WASH services,Sanitation,No.,2500000,2500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Service Sector Term Loan - Medium,MSME finance,Medium,No.,600000000,600000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Service Sector Term Loan - Micro,MSME finance,Micro,No.,2000000,2000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Service Sector Term Loan - Small,MSME finance,Small,No.,80000000,80000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Service Sector Working Capital - Medium,MSME finance,Medium,No.,30000000,30000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Service Sector Working Capital - Micro,MSME finance,Micro,No.,500000,500000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Service Sector Working Capital - Small,MSME finance,Small,No.,20000000,20000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
SHG/JLG Other Finance,Community finance,Other,No.,200000,200000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Soil Conservation / Land Levelling,Land development,Land levelling,ha,186160,186160,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Solar Energy - Rooftop PV,Renewable energy,Without battery,No.,60000,60000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Solar Energy - Agri Pump A,Renewable energy,Solar agriculture pump,No.,186632,186632,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Solar Energy - Agri Pump B,Renewable energy,Solar agriculture pump,No.,260602,260602,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Solar Energy - Agri Pump C,Renewable energy,Solar agriculture pump,No.,86660,86660,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Solar Energy - Pump Set,Renewable energy,Solar pump set,No.,300000,300000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Spices - Low Reference,Spice cultivation,Spices,acre,133676,133676,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Spices - High Reference,Spice cultivation,Spices,acre,150181,150181,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Sprinkler Irrigation,Irrigation,Micro,ha,44002,44002,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Thresher,Farm mechanization,Multicrop power thresher,No.,252100,252100,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Tractor with Implements & Trailer - 27 PTO,Farm mechanization,PTO 27,No.,800000,800000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Tractor with Implements & Trailer - 46 PTO,Farm mechanization,PTO 46,No.,1100000,1100000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Two-Wheeler Loan - Vendor/Farmer,Transport / micro business,Two-wheeler for farmers/milk/vegetable vendors,No.,100000,100000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Private Veterinary Clinic,Healthcare,Private veterinary clinic,No.,1000000,1000000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Paddy Crop - Irrigated SoF,Crop finance,Paddy,acre,37000,37000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Paddy Crop - Rainfed SoF,Crop finance,Paddy,acre,30000,30000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Maize - Irrigated SoF,Crop finance,Maize,acre,37000,37000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Maize - Rainfed SoF,Crop finance,Maize,acre,25000,25000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Groundnut - Rainfed SoF,Crop finance,Groundnut,acre,28000,28000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Chilli - Irrigated SoF,Crop finance,Chilli,acre,50000,50000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Ginger - Irrigated SoF,Crop finance,Ginger,acre,100000,100000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Turmeric - Irrigated SoF,Crop finance,Turmeric,acre,90000,90000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Potato - Irrigated SoF,Crop finance,Potato,acre,70000,70000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
Other Vegetables SoF,Crop finance,Other vegetables,acre,35000,35000,Odisha district unit cost / SoF,NABARD,2025-26 PLP; unit costs fixed for 2024-25,"Sundargarh, Odisha",Annexure 4 / Annexure 5 (see source notes),https://www.nabard.org/auth/writereaddata/tender/pub_2508251205351832.pdf,"Official Odisha district reference. Indicative, not a quotation. Use with district/business-scale context.",ODISHA_DISTRICT_PRIMARY,Yes — first choice for Odisha district estimates where activity/scale matches.
